,wallTime,epoch,exp,tag,value
182,1638572624,1179,2021.12.03-22.24,note_count_mse_step,9.638322
183,1638572624,1179,2021.12.03-22.24,levenshtein_epoch,111.860344
184,1638572624,1179,2021.12.03-22.24,duration_ms_mse_epoch,18189.371
185,1638572624,1179,2021.12.03-22.24,note_count_mse_epoch,7.4972024
186,1638572624,1179,2021.12.03-22.24,epoch,0.0
187,1638572848,1319,2021.12.03-22.24,hp_metric,-1.0
188,1638572858,1319,2021.12.03-22.24,levenshtein_step,145.30417
189,1638572858,1319,2021.12.03-22.24,duration_ms_mse_step,18327.045
190,1638572858,1319,2021.12.03-22.24,note_count_mse_step,6.783496
191,1638572863,1319,2021.12.03-22.24,levenshtein_step,11.538314
192,1638572863,1319,2021.12.03-22.24,duration_ms_mse_step,17778.725
193,1638572863,1319,2021.12.03-22.24,note_count_mse_step,10.423225
194,1638572863,1319,2021.12.03-22.24,levenshtein_epoch,111.8627
195,1638572863,1319,2021.12.03-22.24,duration_ms_mse_epoch,18189.965
196,1638572863,1319,2021.12.03-22.24,note_count_mse_epoch,7.6934285
197,1638572863,1319,2021.12.03-22.24,epoch,0.0
198,1638573304,1499,2021.12.03-22.24,hp_metric,-1.0
199,1638573313,1499,2021.12.03-22.24,levenshtein_step,145.30417
200,1638573313,1499,2021.12.03-22.24,duration_ms_mse_step,18327.045
201,1638573313,1499,2021.12.03-22.24,note_count_mse_step,6.783496
202,1638573318,1499,2021.12.03-22.24,levenshtein_step,11.533597
203,1638573318,1499,2021.12.03-22.24,duration_ms_mse_step,17797.24
204,1638573318,1499,2021.12.03-22.24,note_count_mse_step,10.129447
205,1638573318,1499,2021.12.03-22.24,levenshtein_epoch,111.86153
206,1638573318,1499,2021.12.03-22.24,duration_ms_mse_epoch,18194.594
207,1638573318,1499,2021.12.03-22.24,note_count_mse_epoch,7.6199837
208,1638573318,1499,2021.12.03-22.24,epoch,0.0
209,1638570391,0029,2021.12.03-22.24,hp_metric,-1.0
210,1638570399,0029,2021.12.03-22.24,levenshtein_step,145.30324
211,1638570399,0029,2021.12.03-22.24,duration_ms_mse_step,18298.13
212,1638570399,0029,2021.12.03-22.24,note_count_mse_step,6.78826
213,1638570403,0029,2021.12.03-22.24,levenshtein_step,11.5902
214,1638570403,0029,2021.12.03-22.24,duration_ms_mse_step,18511.531
215,1638570403,0029,2021.12.03-22.24,note_count_mse_step,11.456457
216,1638570403,0029,2021.12.03-22.24,levenshtein_epoch,111.87498
